# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	543
#@/user_id	ee5c281b-b5db-4ec4-913e-07f7ba7a1927
jie hun 	结婚	c=2 d=1.78763 t=543
jie jue 	解决	c=2 d=1.94649 t=543
jie ling 	节令	c=1 d=0.831104 t=543
jie ri 	节日	c=0 d=0.0965605 t=543
jie ri wai 	节日外	c=1 d=0.970446 t=543
jie shao 	介绍	c=1 d=0.798516 t=543
jin tian tian qi 	今天天气	c=1 d=0.995012 t=543
jin xing 	进行	c=1 d=0.980199 t=543
ju le bu 	俱乐部	c=1 d=0.980199 t=543
jue qu 	绝区	c=1 d=0.995012 t=543
kai ji 	开机	c=1 d=0.985112 t=543
ke yi 	可以	c=3 d=2.50108 t=543
ke yi yong de 	可以用的	c=1 d=0.904837 t=543
kong bu you xi 	恐怖游戏	c=1 d=0.83527 t=543
kua ke 	夸克	c=1 d=0.99005 t=543
kuai su 	快速	c=1 d=0.99005 t=543
kuang shi 	矿石	c=3 d=2.8975 t=543
kuang ye zhi xi 	旷野之息	c=3 d=2.75109 t=543
kun bang 	捆绑	c=1 d=0.737123 t=543
la jiao si 	辣椒丝	c=1 d=0.904837 t=543
lao ren 	老人	c=1 d=0.99005 t=543
le 	了	c=2 d=1.66024 t=543
lei si 	类似	c=1 d=0.909373 t=543
li hong zhi 	李洪志	c=1 d=0.927743 t=543
li jin mie 	李尽灭	c=1 d=0.995012 t=543
li yi 	礼仪	c=1 d=0.822835 t=543
li yong 	利用	c=1 d=0.955997 t=543
lian jie 	连接	c=2 d=1.51547 t=543
liang ge 	两个	c=1 d=0.891366 t=543
lie yan ren 	烈焰人	c=1 d=0.995012 t=543
ling 	灵	c=0 d=0.0715338 t=543
ling 	零	c=1 d=1 t=543
ling wai 	另外	c=1 d=0.985112 t=543
liu shi 	六十	c=1 d=0.995012 t=543
liu shi shi 	刘诗诗	c=6 d=4.5752 t=543
liu shi zhou nian ji nian ri 	六十周年纪念日	c=1 d=0.806541 t=543
long shen 	龙神	c=1 d=0.995012 t=543
lv 	绿	c=0 d=0.0918512 t=543
lv cong si 	绿葱丝	c=1 d=0.923116 t=543
ma 	吗	c=3 d=2.46265 t=543
mei ci 	每次	c=1 d=0.946485 t=543
mei feng 	每逢	c=1 d=0.83527 t=543
mei lin na 	梅琳娜	c=1 d=1 t=543
men 	门	c=1 d=1 t=543
mi 	米	c=0 d=0.0927743 t=543
mi mi 	咪咪	c=3 d=2.88767 t=543
mi ni 	迷你	c=1 d=1.00215 t=543
mi ni ren wu 	迷你任务	c=1 d=0.932394 t=543
miao miao 	喵喵	c=3 d=2.90214 t=543
ming tian 	明天	c=2 d=1.65869 t=543
ming xing 	明星	c=1 d=0.99005 t=543
ming xing da zhen tan 	明星大侦探	c=16 d=12.999 t=543
